Date,Social Dominance (ETH),Positive sentiment (Total) (ETH),Negative sentiment (Total) (ETH),Weighted sentiment (Total) (ETH),Development Activity (ETH),MVRV Ratio (1d) (ETH),NVT Ratio (with Transaction Volume) (ETH),Active Addresses 24h (ETH),Supply on Exchanges (ETH),Whale Transaction Count (>100k USD) (ETH),Percent of Stablecoin Total Supply held by Whales with more than 5 million USD,Transaction Volume (ETH),Network Growth (ETH)
2025-01-19T00:00:00.000Z,10.722629962226,3973.789180934429,3210.652959346771,0.168809870538,2249,-0.015263079086999976,43.348951838953,543880,14975817.292458389,87747,47.148037118831,23570926.8416482,981487
2025-01-20T00:00:00.000Z,8.473927146901,3973.789180934429,3210.652959346771,0.168809870538,2249,-0.015263079086999976,43.348951838953,543880,14975817.292458389,87747,47.148037118831,23570926.8416482,981487
2025-01-21T00:00:00.000Z,8.146631144976,3973.789180934429,3210.652959346771,0.168809870538,2249,-0.015263079086999976,43.348951838953,543880,14975817.292458389,87747,47.148037118831,23570926.8416482,981487
2025-01-22T00:00:00.000Z,7.792983906015,3973.789180934429,3210.652959346771,0.168809870538,2249,-0.015263079086999976,43.348951838953,543880,14975817.292458389,87747,47.148037118831,23570926.8416482,981487
2025-01-23T00:00:00.000Z,7.932594975512,2720.893703341484,1854.697682082653,-0.101334170069,2229,-0.002241961962999972,57.402773207221,497052,15232239.224830177,78364,47.451613857566,19779063.681274645,982387
2025-01-24T00:00:00.000Z,7.34757763434,2720.893703341484,1854.697682082653,-0.101334170069,2229,-0.002241961962999972,57.402773207221,497052,15232239.224830177,78364,47.451613857566,19779063.681274645,982387
2025-01-25T00:00:00.000Z,6.230251854057,2720.893703341484,1854.697682082653,-0.101334170069,2229,-0.002241961962999972,57.402773207221,497052,15232239.224830177,78364,47.451613857566,19779063.681274645,982387
2025-01-26T00:00:00.000Z,5.84719784379,2720.893703341484,1854.697682082653,-0.101334170069,2229,-0.002241961962999972,57.402773207221,497052,15232239.224830177,78364,47.451613857566,19779063.681274645,982387
2025-01-27T00:00:00.000Z,6.198001488428,2720.893703341484,1854.697682082653,-0.101334170069,2229,-0.002241961962999972,57.402773207221,497052,15232239.224830177,78364,47.451613857566,19779063.681274645,982387
2025-01-28T00:00:00.000Z,6.849080260464,2720.893703341484,1854.697682082653,-0.101334170069,2229,-0.002241961962999972,57.402773207221,497052,15232239.224830177,78364,47.451613857566,19779063.681274645,982387
