coin,run,model,RMSE,MAE,MAPE,R2,epochs,final_lr
BTC,4,LSTM-Full,3671.8563227527998,2826.338106317935,3.1578001203830883,0.9505873070376601,34,0.0001250000059371814
BTC,4,GRU-Price,2730.7744681777904,2023.5090132472826,2.280687758522406,0.9726700503066232,65,3.125000148429535e-05
BTC,4,GRU-Sentiment,2708.599695423681,2046.8238502038046,2.301787635136814,0.9731121042579433,50,6.25000029685907e-05
BTC,4,GRU-OnChain,3047.9008829286277,2396.2693953804346,2.709390826948328,0.965953784450905,39,0.0001250000059371814
BTC,4,GRU-Full,2619.687652508007,2024.959283288043,2.28699253620483,0.9748483667831926,49,6.25000029685907e-05
BTC,5,LSTM-Price,3288.2039486109934,2527.854583899457,2.7883078425776398,0.960373596456895,96,3.906250185536919e-06
BTC,5,LSTM-Sentiment,4033.08127772362,3012.2298233695656,3.352636635831141,0.940386981402997,29,0.0001250000059371814
BTC,5,LSTM-OnChain,3161.1795148369256,2388.895594429348,2.663149343737524,0.9633760246693023,84,7.812500371073838e-06
BTC,5,LSTM-Full,3661.6346709465906,2788.379572010869,3.116302322253783,0.9508620325618907,42,6.25000029685907e-05
BTC,5,GRU-Price,2453.1796237772137,1816.150257302989,2.058938538645043,0.9779440452337667,89,7.812500371073838e-06
BTC,5,GRU-Sentiment,2591.0090967458277,2024.4287287703798,2.292105157300627,0.9753960384081031,62,1.5625000742147677e-05
BTC,5,GRU-OnChain,2668.7021401899547,2000.3306980298914,2.257339708842959,0.9738983854080847,54,6.25000029685907e-05
BTC,5,GRU-Full,2547.344817484976,1935.8350968070654,2.1865336152861716,0.9762183141432231,64,3.125000148429535e-05
ETH,1,LSTM-Price,134.36867157921841,99.30135463548737,3.3242489407943445,0.9699353197259318,140,7.812500371073838e-06
ETH,1,LSTM-Sentiment,144.31720890148844,109.45791095236069,3.6205844623389534,0.9653185869038329,86,1.5625000742147677e-05
ETH,1,LSTM-OnChain,180.02543335841523,142.8406875212295,5.0999847381561585,0.9460330004917162,79,3.125000148429535e-05
ETH,1,LSTM-Full,170.79771858753625,134.9662842062245,4.825342308094647,0.9514236730253897,88,1.5625000742147677e-05
ETH,1,GRU-Price,127.46885798397659,93.36171774159303,3.1161275680664713,0.9729436796548303,99,3.906250185536919e-06
ETH,1,GRU-Sentiment,133.35905448148378,99.65106819484541,3.334951586948269,0.9703854213588534,71,3.125000148429535e-05
